Index,Keyword,Rank,App ID,Short Description,Long Description
0,browser,2,net.fast.web.browser,"The small, fastest, secure Web Browser, best mobile browser, fast search Google.","One of the smallest, fastest, secure Web Browser; 
It is specifically designed for mobile phones and tablet, brings you an amazing Premium web experience.

It is based off the Android WebKit Engine.

Key Features:
- Tabbed Internet Browsing
- Incognito Mode. Private browse the web without saving any browser history.
- Supports Adobe Flash Player 
- The fastest Start Times: View web pages quicker on your phone
- Block Ads
- Homepage: Add favorite links to your homepage with a single click and access sites easily from your mobile desktop;
- Bookmarks
- History
- Find in Page
- Super easy copy/paste
- Small Footprint
- Full-screen mode
- Quick search: most popular default search engines
- User Agent settings
- Advanced Gesture feature
- Sharing - Super-easy and intuitive ways to share mobile contents through social media channels.
- Advanced Settings
- Uses the Native JavaScript and WebKit Engine so file size is smaller
- Custom download location

It is a high-performance small-sized Internet browser built for those who don't want the cumbersome size of other Browser. 
Web Browser with the latest security and privacy features to help you stay safe on the internet.
We wish you can have the best web surfing experience for using Web Browser."
1,browser,3,com.android.chrome,"Fast, simple, and secure. Google Chrome browser for Android phones and tablets.","Google Chrome is a fast, easy to use, and secure web browser. Designed for Android, Chrome brings you personalized news articles, quick links to your favorite sites, downloads, and Google Search and Google Translate built-in. Download now to enjoy the same Chrome web browser experience you love across all your devices.
        
        Browse fast and type less. Choose from personalized search results that instantly appear as you type and quickly browse previously visited web pages. Fill in forms quickly with Autofill.
        
        Incognito Browsing. Use Incognito mode to browse the internet without saving your history. Browse privately across all your devices.
        
        Sync Chrome Across Devices. When you sign into Chrome, your bookmarks, passwords, and settings will be automatically synced across all your devices. You can seamlessly access all your information from your phone, tablet, or laptop.
        
        All your favorite content, one tap away. Chrome is not just fast for Google Search, but designed so you are one tap away from all your favorite content. You can tap on your favorite news sites or social media directly from the new tab page. Chrome also has the “Tap to Search”- feature on most webpages. You can tap on any word or phrase to start a Google search while still in the page you are enjoying.
        
        Protect your phone with Google Safe Browsing. Chrome has Google Safe Browsing built-in. It keeps your phone safe by showing warnings to you when you attempt to navigate to dangerous sites or download dangerous files.
        
        Fast downloads and view web pages and videos offline Chrome has a dedicated download button, so you can easily download videos, pictures, and entire webpages with just one tap. Chrome also has downloads home right inside Chrome, where you can access all the content you downloaded, even when you are offline.
        
        Google Voice Search. Chrome gives you an actual web browser you can talk to. Use your voice to find answers on-the-go without typing and go hands free. You can browse and navigate quicker using your voice anywhere, anytime.
        
        Google Translate built-in: Quickly translate entire web pages. Chrome has Google Translate built in to help you to translate entire web to your own language with one tap.
        
        Use less mobile data and speed up the web. Turn on Lite mode and use up to 60% less data. Chrome can compress text, images, videos, and websites without lowering the quality.
        
        Smart personalized recommendations. Chrome creates an experience that is tailored to your interests.  On the new tab page, you will find articles that Chrome selected based on your previous browsing history."
2,browser,4,com.opera.browser,"Fast, safe web browser: free VPN, Ad blocker, QR-code reader &amp; personalized news","Fast, safe and private, introducing the latest version of the Opera web browser made to make your life easier online. Featuring a built-in Ad Blocker and Free VPN with a clean and user-friendly design letting you get more done online, in less time. Download now and join over 350 million fans across the world using Opera.

 Ad blocker for safe & fast browsing 
Opera’s native ad blocker effectively helps you get rid of thousands of intrusive ads and loads your pages faster to streamline your browsing experience. Now, we have added the option to eliminate a vast majority of annoying cookie and privacy dialogs also. 

Free built-in VPN 
Improve your privacy and security on public networks with our built-in browser VPN. The unlimited and free VPN lets you avoid sharing your location and identity, staying anonymous and safe online. You can also switch to different virtual locations if needed for extra browser security. 

Private browser 
Use private tabs to go incognito anywhere on the Internet without leaving a trace on your device. Easily switch between normal and private browsing in the tab gallery.

Save data and time
On a slow connection? Or want to save data? Switch to data saver mode to load pages faster than ever on slow networks. Powered by our famous compression technology, the Opera browser works hard to save up to of your data without breaking your browsing experience.

Personalized news feed 
Powered by our smartest AI news engine, the rebooted news feed allows you to swipe through a selection of personalized news channels within the browser, subscribe to your favorite topics, and save stories to read later.

Night mode
Opera’s night mode provides you adjustable lighting options to get the most comfortable reading experience in the dark and the least eye strain. Night mode is easily accessible from the main menu. 

Manage your passwords and autofill credit cards
Opt in for automatic saving of passwords site by site and safely autofill your payment information for safe and private online shopping. 

Read comfortably on any screen: 
The Opera browser includes a text size setting which helps you adapt pages according to your reading preferences. More importantly, it works perfectly together with our automatic text wrap feature for an unparalleled reading experience.

Flow - seamlessly connects all your devices: 
The popular Flow feature lets the files, links or images that you share immediately appear on all your Flow-enabled devices, allowing you to seamlessly switch between your iPhone, Android phone, tablet and computer. Sync all your Opera accounts across Devices as well! 

About Opera
Founded 1995 in Norway on the idea that everyone should be able to browse the web, we have spent the last +25 years helping millions of people access the internet in a safe, private and innovative way. We care about the internet, about open standards, and about people. 

Terms & Conditions:
By downloading this application, you are agreeing to the End User Licence Agreement at https://www.opera.com/eula/mobile."
3,browser,4,com.opera.browser,"Fast, safe web browser: free VPN, Ad blocker, QR-code reader &amp; personalized news","Opera is a fast, safe web browser for your Android device, featuring a rebooted news feed, built-in Ad blocker, free VPN and a QR & Barcode scanner. 


★ Top features ★ 

● Free, unlimited and built-in VPN: 

Improve your privacy and security with our built-in and free VPN. Turn on Opera VPN in the setting and your IP address will be replaced with a virtual one to help you avoid unintended location and identification information sharing. You can also switch to different virtual locations.

● Block ads for faster browsing: 

Opera’s native ad blocker effectively helps you get rid of intrusive ads and loads your pages faster to streamline your browsing experience.  Now, we have added the option to eliminate a vast majority of annoying cookie and privacy dialogs. 

● Flow - seamlessly connects all your devices: 

The popular Flow feature lets the files, links or images that you share immediately appear on all your Flow-enabled devices, allowing you to seamlessly switch between your iPhone, Android phone, tablet and computer.

● Built-in QR & Barcode scanner: 

Easily access the built-in QR & barcode scanner. Simply tap the search bar and the scanner is available on the right side. Point the camera at any QR-code/barcode, and it will be scanned automatically.

● Personalized news feed: 

Powered by our smartest AI news engine, the rebooted news feed allows you to swipe through a selection of personalized news channels within the browser, subscribe to your favorite topics, and save stories to read later.

● Night mode:

Opera’s night mode provides you adjustable lighting options to get the most comfortable reading experience in the dark and the least eye strain. Night mode is easily accessible from the main menu. 

● Manage passwords and autofill credit cards:

Opt in for automatic saving of passwords site by site and safely autofill your payment information for online shopping. 

● Private browsing: 

Use private tabs to go incognito anywhere on the Internet without leaving a trace on your device. Easily switch between private and normal browsing in the tab gallery.

● Read comfortably on any screen: 

The Opera browser includes a text size setting which helps you adapt pages according to your reading preferences. More importantly, it works perfectly together with our automatic text wrap feature for an unparalleled reading experience.

● Manage downloads easily: 

Our new download manager makes downloading files easier and faster than ever! You can easily sort and share each downloaded item, delete them from your phone or remove them from your list of downloads with a quick swipe to the right or left side.  We even support background downloading when you have a download running but need to open another application!

● Home screen shortcuts:

Available on Android versions 7.1 or later, Opera offers fast access from the home screen to search, open a new private tab or scan QR codes. To create your own home screen shortcut, long tap on the Opera icon in your device’s home screen and tap your desired function. 

● Sync your Opera devices: 

Give yourself access to all your bookmarks, Speed Dial shortcuts and open tabs from your other devices with Opera. Opera on Android can now easily sync with the Opera browser for computers.

● Browser startup options:

Everyone is individual, so we let you choose whether to always open the browser with a new tab or to continue browsing where you left off, and to choose to close or preserve your open tabs when you exit the browser.

Opera may show ads from Facebook. To learn more, see: https://m.facebook.com/ads/ad_choices

Terms & Conditions:
By downloading this application, you are agreeing to the End User Licence Agreement at https://www.opera.com/eula/mobile. Also, you can learn how Opera handles and protects your data in our Privacy Statement at https://www.opera.com/privacy."
4,browser,1,com.cloudmosa.puffinTV,Puffin TV Browser - One App to Watch All Videos on the Web,"Puffin TV Browser is a special edition of Puffin Web Browser optimized for the Android TV. For light users, it is absolutely free. For heavy users, it requires subscription through In-App-Purchase.

PC users can watch all videos from the web browser on their PC. Why do we need to install one video app for each video channel on Android TV? What if we can have a web browser optimized for the Android TV?

Puffin TV Browser removes the traditional web browser UI for a fully immersed Android TV experience. Furthermore, Puffin TV Chabot allows users to interact with their Puffin TV via Facebook Messenger.

☆ Incredible page load and rendering speed
☆ Optimized video playback
☆ Intuitive app navigation design
☆ Sharing pages to Puffin TV Browser from any devices
☆ Full web experience
☆ Fastest JavaScript engine

===== In-app purchase =====
* The service is provided with limited free usage quota everyday.
* Users can pay for unlimited usage quota with in-app purchase.

===== Limitations =====
* The data centers of Puffin are in the US and the cloud servers can only access public web sites from US geolocations.
* For users outside the US, local contents, especially videos of local interest, may not be accessible from the US due to geo-restrictions in their home countries.
* Puffin is blocked in some countries (e.g., China, Saudi Arabia, United Arab Emirates) and by some schools (e.g., in United States)."
5,browser,1,com.cloudmosa.puffinTV,Puffin TV Browser - One App to Watch All Videos on the Web,"Puffin TV Browser is a special edition of Puffin Web Browser optimized for the Android TV. For light users, it is absolutely free. For heavy users, it requires IAP.

Why we need to install one video app for each video channel on Android TV? PC users can watch all videos from any web browser on their PC. What if we can have a web browser optimized for the Android TV?

Puffin TV Browser removes the traditional web browser UI for a fully immersed Android TV experience. Puffin UI is kept as subtle and intuitive as possible. For example, Puffin TV automatically recommends most popular sites for users. It has never been easier to share a page from your smart phone to Puffin TV Browser.

Furthermore, Puffin TV chatbot allows you to interact with your Puffin TV browser via Facebook Messenger easily. It is intuitive, minimalist, and highly functional.

☆ Incredible page load and rendering speed
☆ Optimized video playback
☆ Intuitive app navigation design
☆ Sharing pages to Puffin TV Browser from any devices
☆ Full web experience
☆ Fastest JavaScript engine

===== In-app purchase =====
* The service is provided with limited free usage quota everyday.
* Users can pay for unlimited usage quota with in-app purchase.

===== Limitations =====
* The data centers of Puffin are in the US and the cloud servers can only access public web sites from US geolocations.
* For users outside the US, local contents, especially videos of local interest, may not be accessible from the US due to geo-restrictions in their home countries.
* Puffin is blocked in some countries (e.g., China, Saudi Arabia, United Arab Emirates) and by some schools (e.g., in United States)."
6,browser,1,com.cloudmosa.puffinTV,Puffin TV Browser - One App to Watch All Videos on the Web.,"Puffin TV Browser is a special edition of Puffin Web Browser optimized for the Android TV.

Why we need to install one video app for each video channel on Android TV? PC users can watch all videos from any web browser on their PC. What if we can have a web browser optimized for the Android TV?

Puffin TV Browser removes the traditional web browser UI for a fully immersed Android TV experience. Puffin UI is kept as subtle and intuitive as possible. For example, Puffin TV automatically recommends most popular sites for users. It has never been easier to share a page from your smart phone to Puffin TV Browser.

Furthermore, Puffin TV chatbot allows you to interact with your Puffin TV browser via Facebook Messenger easily. It is intuitive, minimalist, and highly functional.

☆ Incredible page load and rendering speed
☆ Optimized video playback
☆ Intuitive app navigation design
☆ Sharing pages to Puffin TV Browser from any devices
☆ Full web experience
☆ Fastest JavaScript engine

===== In-app purchase =====
* The service is provided with limited free usage everyday.
* Users may choose to unlock limited access via in-app purchase.

===== Limitations =====
* The data centers of Puffin are in the US and the cloud servers can only access public web sites from US geolocations.
* For users outside the US, local contents, especially videos of local interest, may not be accessible from the US due to geo-restrictions in their home countries.
* Puffin is blocked in some countries (e.g., China, Saudi Arabia, United Arab Emirates) and by some schools (e.g., in United States)."
7,browser,1,com.cloudmosa.puffinTV,Puffin TV Browser - One App to Watch All Videos on the Web.,"Puffin TV Browser is a special edition of Puffin Web Browser optimized for the Android TV.

Why we need to install one video app for each video channel on Android TV? PC users can watch all videos from any web browser on their PC. What if we can have a web browser optimized for the Android TV?

Puffin TV Browser removes the traditional web browser UI for a fully immersed Android TV experience. Puffin UI is kept as subtle and intuitive as possible. For example, Puffin TV automatically recommends most popular sites for users. It has never been easier to share a page from your smart phone to Puffin TV Browser.

☆ Incredible page load and rendering speed
☆ Optimized video playback
☆ Intuitive app navigation design
☆ Sharing pages to Puffin TV Browser from any devices
☆ Full web experience
☆ Fastest JavaScript engine

===== In-app purchase =====
* The service is provided with limited free usage everyday.
* Users may choose to unlock limited access via in-app purchase.

===== Limitations =====
* The data centers of Puffin are in the US and the cloud servers can only access public web sites from US geolocations.
* For users outside the US, local contents, especially videos of local interest, may not be accessible from the US due to geo-restrictions in their home countries.
* Puffin is blocked in some countries (e.g., China, Saudi Arabia, United Arab Emirates) and by some schools (e.g., in United States)."
8,android browser,11,net.fast.web.browser,"The small, fastest, secure Web Browser, best mobile browser, fast search Google.","One of the smallest, fastest, secure Web Browser; 
It is specifically designed for mobile phones and tablet, brings you an amazing Premium web experience.

It is based off the Android WebKit Engine.

Key Features:
- Tabbed Internet Browsing
- Incognito Mode. Private browse the web without saving any browser history.
- Supports Adobe Flash Player 
- The fastest Start Times: View web pages quicker on your phone
- Block Ads
- Homepage: Add favorite links to your homepage with a single click and access sites easily from your mobile desktop;
- Bookmarks
- History
- Find in Page
- Super easy copy/paste
- Small Footprint
- Full-screen mode
- Quick search: most popular default search engines
- User Agent settings
- Advanced Gesture feature
- Sharing - Super-easy and intuitive ways to share mobile contents through social media channels.
- Advanced Settings
- Uses the Native JavaScript and WebKit Engine so file size is smaller
- Custom download location

It is a high-performance small-sized Internet browser built for those who don't want the cumbersome size of other Browser. 
Web Browser with the latest security and privacy features to help you stay safe on the internet.
We wish you can have the best web surfing experience for using Web Browser."
9,android browser,8,com.android.chrome,"Fast, simple, and secure. Google Chrome browser for Android phones and tablets.","Google Chrome is a fast, easy to use, and secure web browser. Designed for Android, Chrome brings you personalized news articles, quick links to your favorite sites, downloads, and Google Search and Google Translate built-in. Download now to enjoy the same Chrome web browser experience you love across all your devices.
        
        Browse fast and type less. Choose from personalized search results that instantly appear as you type and quickly browse previously visited web pages. Fill in forms quickly with Autofill.
        
        Incognito Browsing. Use Incognito mode to browse the internet without saving your history. Browse privately across all your devices.
        
        Sync Chrome Across Devices. When you sign into Chrome, your bookmarks, passwords, and settings will be automatically synced across all your devices. You can seamlessly access all your information from your phone, tablet, or laptop.
        
        All your favorite content, one tap away. Chrome is not just fast for Google Search, but designed so you are one tap away from all your favorite content. You can tap on your favorite news sites or social media directly from the new tab page. Chrome also has the “Tap to Search”- feature on most webpages. You can tap on any word or phrase to start a Google search while still in the page you are enjoying.
        
        Protect your phone with Google Safe Browsing. Chrome has Google Safe Browsing built-in. It keeps your phone safe by showing warnings to you when you attempt to navigate to dangerous sites or download dangerous files.
        
        Fast downloads and view web pages and videos offline Chrome has a dedicated download button, so you can easily download videos, pictures, and entire webpages with just one tap. Chrome also has downloads home right inside Chrome, where you can access all the content you downloaded, even when you are offline.
        
        Google Voice Search. Chrome gives you an actual web browser you can talk to. Use your voice to find answers on-the-go without typing and go hands free. You can browse and navigate quicker using your voice anywhere, anytime.
        
        Google Translate built-in: Quickly translate entire web pages. Chrome has Google Translate built in to help you to translate entire web to your own language with one tap.
        
        Use less mobile data and speed up the web. Turn on Lite mode and use up to 60% less data. Chrome can compress text, images, videos, and websites without lowering the quality.
        
        Smart personalized recommendations. Chrome creates an experience that is tailored to your interests.  On the new tab page, you will find articles that Chrome selected based on your previous browsing history."
